#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.01904    -14.008218    -14.008100
   0.00000    -14.007046    -14.006944
 
# Band-Index   17
   0.00000    -13.996114    -13.996015
   0.01904    -13.998011    -13.997912
   0.03808    -14.002978    -14.002874
   0.05711    -14.009765    -14.009626
   0.07615    -14.016351    -14.016151
   0.09519    -14.021612    -14.021379
   0.11423    -14.025569    -14.025318
   0.13327    -14.028208    -14.027943
   0.15231    -14.029615    -14.029340
   0.17134    -14.030101    -14.029819
   0.19038    -14.030087    -14.029801
   0.20942    -14.029935    -14.029647
   0.22846    -14.029861    -14.029572
   0.22846    -14.029861    -14.029572
   0.23946    -14.028843    -14.028563
   0.25045    -14.026057    -14.025797
   0.26145    -14.022155    -14.021918
   0.27245    -14.017842    -14.017624
   0.28344    -14.013650    -14.013447
   0.29444    -14.009916    -14.009726
   0.30544    -14.006838    -14.006659
   0.31643    -14.004536    -14.004364
   0.32743    -14.003082    -14.002918
   0.33843    -14.002517    -14.002361
   0.34942    -14.002837    -14.002688
   0.36042    -14.003974    -14.003832
   0.36042    -14.003974    -14.003832
   0.38245    -14.008835    -14.008700
   0.40447    -14.015165    -14.015039
   0.42650    -14.021338    -14.021221
   0.44852    -14.025719    -14.025611
   0.47055    -14.027034    -14.026936
   0.49258    -14.025028    -14.024938
   0.51460    -14.020332    -14.020248
   0.53663    -14.013933    -14.013850
   0.55865    -14.007093    -14.007007
   0.58068    -14.001238    -14.001146
   0.60271    -13.997420    -13.997323
   0.62473    -13.996114    -13.996015
 
# Band-Index   18
   0.62473    -13.985694    -13.985411
   0.60271    -13.983893    -13.983672
   0.58068    -13.983154    -13.983011
   0.55865    -13.984799    -13.984691
   0.53663    -13.985942    -13.985844
   0.51460    -13.985084    -13.984990
   0.49258    -13.982256    -13.982166
   0.47055    -13.978205    -13.978118
   0.44852    -13.973954    -13.973868
   0.42650    -13.970441    -13.970357
   0.40447    -13.968217    -13.968135
   0.38245    -13.967231    -13.967151
   0.36042    -13.966749    -13.966671
   0.36042    -13.966749    -13.966671
   0.34942    -13.966342    -13.966265
   0.33843    -13.965704    -13.965627
   0.32743    -13.964797    -13.964720
   0.31643    -13.963653    -13.963575
   0.30544    -13.962348    -13.962268
   0.29444    -13.960970    -13.960889
   0.28344    -13.959608    -13.959526
   0.27245    -13.958339    -13.958255
   0.26145    -13.957236    -13.957151
   0.25045    -13.956368    -13.956283
   0.23946    -13.955808    -13.955722
   0.22846    -13.955613    -13.955527
   0.22846    -13.955613    -13.955527
   0.20942    -13.956070    -13.955982
   0.19038    -13.957390    -13.957296
   0.17134    -13.959438    -13.959332
   0.15231    -13.962033    -13.961908
   0.13327    -13.965013    -13.964860
   0.11423    -13.968261    -13.968077
   0.09519    -13.971654    -13.971444
   0.07615    -13.975023    -13.974802
   0.05711    -13.978329    -13.978102
   0.03808    -13.981593    -13.981352
   0.01904    -13.984422    -13.984155
   0.00000    -13.985694    -13.985411
 
# Band-Index   19
   0.00000    -13.953629    -13.953393
   0.01904    -13.955974    -13.955750
   0.03808    -13.960276    -13.960072
   0.05711    -13.963008    -13.962826
   0.07615    -13.962961    -13.962803
   0.09519    -13.960610    -13.960464
   0.11423    -13.956737    -13.956586
   0.13327    -13.951970    -13.951802
   0.15231    -13.946925    -13.946741
   0.17134    -13.942225    -13.942028
   0.19038    -13.938420    -13.938216
   0.20942    -13.935946    -13.935737
   0.22846    -13.935087    -13.934878
   0.22846    -13.935087    -13.934878
   0.23946    -13.934638    -13.934428
   0.25045    -13.933331    -13.933121
   0.26145    -13.931273    -13.931063
   0.27245    -13.928600    -13.928389
   0.28344    -13.925447    -13.925235
   0.29444    -13.921942    -13.921730
   0.30544    -13.918202    -13.917990
   0.31643    -13.914334    -13.914121
   0.32743    -13.910442    -13.910229
   0.33843    -13.906636    -13.906424
   0.34942    -13.903040    -13.902830
   0.36042    -13.899804    -13.899597
   0.36042    -13.899804    -13.899597
   0.38245    -13.897803    -13.897578
   0.40447    -13.899393    -13.899151
   0.42650    -13.904116    -13.903862
   0.44852    -13.910894    -13.910633
   0.47055    -13.918773    -13.918505
   0.49258    -13.927052    -13.926778
   0.51460    -13.935174    -13.934892
   0.53663    -13.942647    -13.942357
   0.55865    -13.948950    -13.948656
   0.58068    -13.953159    -13.952875
   0.60271    -13.954142    -13.953890
   0.62473    -13.953629    -13.953393
 
# Band-Index   20
   0.62473    -13.925075    -13.924947
   0.60271    -13.921915    -13.921780
